ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_ID,Part_Of_Speech,Original_Translation,Text_ID,Sentence_Number,Phrase_Number,Speaker_ID
histanfo-10,yab,"sukase ta wejsaj ta, irëjpë papa kampra ijtëri",sukase	ta-∅	wej-saj	ta	irëjpë	papa	kampra	ij-të-ri,all	say-IPFV	COP-PST	like	then	father	big	3-go-IPFV,"She said that, then my uncle left",,tï before first ta?,histanfo-10,?	?	?	?	?	?	?	?,"todo decía, después se iba mi tío",histanfo,10,,anfo
histanfo-11,yab,ipakuri yakërë,i-paku-ri	yakërë,3-arrow_tip-PERT	***,with his arrow.,,"""pause"" after the prefix",histanfo-11,?	?,con su flecha,histanfo,11,,anfo
histanfo-12,yab,"irëjpë sakara nepï wejsaj ta, irëjpë michi",irëjpë	sakara	nepï-∅	wej-saj	ta	irëjpë	michi,then	hoplias_malabaricus	bring-IPFV	COP-PST	like	then	MED.ANIM,"He brought guabina, then (he said) ""here it is"".",,,histanfo-12,?	?	?	?	?	?	?,"traía guabina, después (decía) aquí está",histanfo,12,,anfo
histanfo-13,yab,yakono ijmojkakë mukuton yoti ta wejsaj ta,y-akono-∅	ijmojka-kë	muku-ton	y-oti-∅	ta-∅	wej-saj	ta,LK-younger_sister_of_woman-PERT	cook-IMP	child-PL	LK-meat-PERT	say-IPFV	COP-PST	like,"Then she said, ""sister cook for the children to eat""",,Is this the old zero 1 on yakono? Or a lexicalized linker in nouns?,histanfo-13,?	?	?	?	?	?	?,"después dice, hermana cocina para que coman los niños",histanfo,13,,anfo
histanfo-14,yab,"makampra ya, makë pana",makampra	ya	makë	pana,aunt	ERG	mom	DAT,...my aunt to my mom.,,,histanfo-14,?	?	?	?,mi tía dijo pa mi mamá,histanfo,14,,anfo
histanfo-15,yab,irë makë ya ijmojka wejsapë,i-∅=rë	makë	ya	ijmojka-∅	wej-sapë,put-IPFV=EMP	mom	ERG	cook-IPFV	COP-PST,Then my mom was cooking.,,,histanfo-15,?	?	?	?	?,después mi mamá estaba cocinando,histanfo,15,,anfo
histanfo-16,yab,"ana yoti, ana serematojpe",ana	y-oti-∅	ana	serema-tojpe,1+3PRO	LK-meat-PERT	1+3PRO	eat-PURP,"Our food, to eat.",,,histanfo-16,?	?	?	?,"nuestra comida, para comer",histanfo,16,,anfo
histanfo-17,yab,"tawara ma ana këyetajpë, ana papa pan patajpë të",tawara	ma	ana	këyeta-jpë	ana	papa	pan	pata-jpë	të,too	RST	1+3PRO	grow-PST	1+3PRO	father	FMR	axe-PST	LOC,"This is how we grew up, in my late father's village.",,,histanfo-17,?	?	?	?	?	?	?	?	?,así nos criamos después de que se murió mi papá en su pueblo,histanfo,17,,anfo
histanfo-18,yab,papa pano sëmasaj yawë,papa	pano	sëma-saj	yawë,father	FMR	die-ABS.NMLZ	LOC,Because my dad had died.,,,histanfo-18,?	?	?	?,porque se murió mi papá,histanfo,18,,anfo
histanfo-19,yab,irë ana këyetase tawara ma,irë	ana	këyeta-se	tawara	ma,3ANA.INAN	1+3PRO	grow-PST	too	RST,That's how we grew up.,,,histanfo-19,?	?	?	?	?,nosotros nos críamos así mismo,histanfo,19,,anfo
histanfo-20,yab,"sukase ana këyetase pipi yakërë, ana këyetase intipijkë ana chawë",sukase	ana	këyeta-se	pipi	yakërë	ana	këyeta-se	intipijkë	ana	chawë,all	1+3PRO	grow-PST	younger_brother_of_woman	***	1+3PRO	grow-PST	small	1+3PRO	LOC,We grew up with my younger brother; we grew up when we were small.,,,histanfo-20,?	?	?	?	?	?	?	?	?	?,con mi hermanito,histanfo,20,,anfo
histanfo-21,yab,ana këyetase makampra ya,ana	këyeta-se	makampra	ya,1+3PRO	grow-PST	aunt	OBL,We grew up with my aunt.,,,histanfo-21,?	?	?	?,nosotros nos criamos con mi tía,histanfo,21,,anfo
histanfo-22,yab,"tëwï ya papa kampra pana tase ta, kaimotata",tëwï	ya	papa	kampra	pana	ta-se	ta	kaimota-ta,3PRO	ERG	father	big	DAT	say-PST	like	hunt-MOTIMP,"She said to my uncle: ""go hunt!"".",,,histanfo-22,?	?	?	?	?	?	?	?,"pa mi tío dijo, vaya a cazar",histanfo,22,,anfo
histanfo-23,yab,yomiri mukutomo,yomi-ri	muku-tomo,be_hungry-IPFV	child-PL,"""The children are hungry.""",,yëmiri!,histanfo-23,?	?,tienen hambre los niños,histanfo,23,,anfo
histanfo-24,yab,asamo mare tapëkë ijtëri weroro yarë ta yakuri këjmatojpe,asamo-∅	mare	ta-pëkë	ij-të-ri	weroro	yarë-∅	ta	yakuri	këjma-tojpe,cry-IPFV	REL.INAN	say-PROG.TR	3-go-IPFV	dog	bring-IPFV	like	agouti	hunt-PURP,Because they were crying he went and took the dogs to hunt agouti.,,More material after këjmatojpe; unclear interpretation. Juxtaposed clauses?,histanfo-24,?	?	?	?	?	?	?	?	?,porque estaban llorando iba llevando los perros para que cazaran picure,histanfo,24,,anfo
histanfo-25,yab,irë yakuri,irë	yakuri,3ANA.INAN	agouti,Agouti.,,,histanfo-25,?	?,,histanfo,25,,anfo
histanfo-26,yab,taturu makampra ya ana yoti makë,ta-tu-ru	makampra	ya	ana	y-oti-∅	makë,3P-give-IPFV	aunt	ERG	1+3PRO	LK-meat-PERT	mom,My aunt gave her our food.,,Added makë. Argument structure?,histanfo-26,?	?	?	?	?	?,mi tía lo da comida de nosotros,histanfo,26,,anfo
histanfo-27,yab,ijmokatojpe,ijmoka-tojpe,cook-PURP,For cooking.,,,histanfo-27,?,para cocinar,histanfo,27,,anfo
histanfo-28,yab,irëjpë makë ya ijmojka wejsapë,irëjpë	makë	ya	ijmojka-∅	wej-sapë,then	mom	ERG	cook-IPFV	COP-PST,Then my mom was cooking.,,,histanfo-28,?	?	?	?	?,después mi mamá estaba cocinando,histanfo,28,,anfo
histanfo-29,yab,"ana yoti, yakuri",ana	y-oti-∅	yakuri,1+3PRO	LK-meat-PERT	agouti,"Our food, agouti.",,Potentially the object of the preceding clause.,histanfo-29,?	?	?,"nuestra comida, el picure",histanfo,29,,anfo
histanfo-30,yab,makampra ya tujpë,makampra	ya	tu-jpë,aunt	ERG	give-PST,What my aunt gave her (?).,,Is this supposed to be interpreted as a nominalization?,histanfo-30,?	?	?,lo que mi tía le dió,histanfo,30,,anfo
histanfo-31,yab,"sukase tawara ma ana këyatajpë, onono pëkë",sukase	tawara	ma	ana	këyata-jpë	onono	pëkë,all	too	RST	1+3PRO	grow-PST	another	about,"We were all raised this way, in a different way.",,,histanfo-31,?	?	?	?	?	?	?,"toditos nos críamos así, de otra manera",histanfo,31,,anfo
histanfo-32,yab,kïmïi ma yeme ana ya,kïmïi	ma	yeme-∅	ana	ya,chili	RST	eat(fruits_eggs_soup)-IPFV	1+3PRO	ERG,We were just eating chili.,,,histanfo-32,?	?	?	?	?,nosotros estábamos comiendo puro ají,histanfo,32,,anfo
histanfo-33,yab,"sere yokïrï, irëjpë sukutaka yeni ana ya",sere	yokï-rï	irëjpë	sukutaka	yeni-∅	ana	ya,bitter_manioc	eat(starch)-IPFV	then	yucuta	drink-IPFV	1+3PRO	ERG,"We ate cassava, then we would drink yucuta.",,,histanfo-33,?	?	?	?	?	?	?,"comiendo casabe, después tomabamos yucuta",histanfo,33,,anfo
histanfo-34,yab,"tëwï kïmïi yemetïkene, ana yeni wejsapë sukutaka ma",tëwï	kïmïi	yeme-tïkene	ana	yeni-∅	wej-sapë	sukutaka	ma,3PRO	chili	eat(fruits_eggs_soup)-POST	1+3PRO	drink-IPFV	COP-PST	yucuta	RST,"After eating chili, we would drink yucuta.",,,histanfo-34,?	?	?	?	?	?	?	?,"después de que comemos ají, tomamos yucuta",histanfo,34,,anfo
histanfo-35,yab,nwarë ana këyatajpë ana,nwa=rë	ana	këyata-jpë	ana,thus=EMP	1+3PRO	grow-PST	1+3PRO,That's how we grew up.,,,histanfo-35,?	?	?	?,así nos criamos nosotros,histanfo,35,,anfo
histanfo-36,yab,irëjpë rë neke n ti,irëjpë	rë	neke=n	ti,then	EMP	CNTR=INTS	HSY,"Then, well...",,,histanfo-36,?	?	?	?,después sí,histanfo,36,,anfo
histanfo-37,yab,makë sepanse,makë	sepan-se,mom	get_married-PST,My mom got married.,,,histanfo-37,?	?,mi mamá se casó,histanfo,37,,anfo
histanfo-38,yab,Rafa Perez pan yakërë,rafa	perez	pan	yakërë,R.	P.	FMR	***,With the late Rafel Perez.,,,histanfo-38,?	?	?	?,con el finado Rafel Pérez,histanfo,38,,anfo
histanfo-39,yab,"irëjpë, tëwï yakërë, ana këyatase",irëjpë	tëwï	yakërë	ana	këyata-se,then	3PRO	***	1+3PRO	grow-PST,Then we grew up with him.,,,histanfo-39,?	?	?	?	?,despúes con él nos criamos,histanfo,39,,anfo
histanfo-40,yab,"yatampe ana tëse, pipi tawara rë waraijtokompe ijtëse",yatam=pe	ana	të-se	pipi	tawara	rë	waraijtokom=pe	ij-të-se,adolescent=ESS	1+3PRO	go-PST	younger_brother_of_woman	too	EMP	man=ESS	3-go-PST,"We became adolescents, my brother became a man, too.",,të meaning 'become',histanfo-40,?	?	?	?	?	?	?	?,"nos volvimos muchachos, mi hermano también se volvió hombre",histanfo,40,,anfo
histanfo-41,yab,ana këyatase tëwï yakërë,ana	këyata-se	tëwï	yakërë,1+3PRO	grow-PST	3PRO	***,We grew up with him.,,,histanfo-41,?	?	?	?,nos criamos con él,histanfo,41,,anfo
histanfo-42,yab,ana padrastro yakërë,ana	padrastro-∅	yakërë,1+3PRO	stepfather-PERT	***,With our stepfather.,,,histanfo-42,?	?	?,con nuestro padrastro,histanfo,42,,anfo
histanfo-43,yab,tëwï ya ana këyamase,tëwï	ya	ana	këyama-se,3PRO	ERG	1+3PRO	raise-PST,He raised us.,,The transcription does not match what I am hearing.,histanfo-43,?	?	?	?,el nos crio,histanfo,43,,anfo
histanfo-44,yab,muku wëra ana këyamase ta,muku	wëra	ana	këyama-se	ta,child	like	1+3PRO	raise-PST	like,He raised us as his own children.,,,histanfo-44,?	?	?	?	?,"como a sus hijos nos crió a nosotros, pues",histanfo,44,,anfo
histanfo-45,yab,nopano wejsaj ta waraijtokomo,nop-ano	wejsaj	ta	waraijtokomo,good-NMLZ	?	like	man,This was a good man.,,,histanfo-45,?	?	?	?,ese hombre era bueno,histanfo,45,,anfo
histanfo-46,yab,"ana tapaja ta, ana këyatase nope",ana	tapa-ja	ta	ana	këyata-se	nope,1+3PRO	beat-NEG	like	1+3PRO	grow-PST	good,He didn't beat us; we were raised well.,,,histanfo-46,?	?	?	?	?	?,"ese no pegaba nada, nosotros nos criamos bien",histanfo,46,,anfo
histanfo-47,yab,"tëwï waraijtokon yakërë, ana këyamase ta wejsapë",tëwï	waraijtokon	yakërë	ana	këyama-se	ta	wej-sapë,3PRO	man	***	1+3PRO	raise-PST	like	COP-PST,"With that man, he raised us.",,,histanfo-47,?	?	?	?	?	?	?,con ese hombre nos crio,histanfo,47,,anfo
histanfo-48,yab,takërë ana wejsapë ïmparëjra,ta-kë=rë	ana	wej-sapë	ïmparë=jra,say-IMP=EMP	1+3PRO	COP-PST	already=NEG,We were with him for a long time.,,I hear *jïra*,histanfo-48,?	?	?	?,estuvimos mucho tiempo con él,histanfo,48,,anfo
histanfo-49,yab,irëjpë rë warë tajtojpe pïnika wïrë sepanse,irëjpë	rë	wa=rë	taj-tojpe	pïnika	wïrë	sepan-se,then	EMP	thus=EMP	say-PURP	PROB	1PRO	get_married-PST,"Then, closer tow now, I got married.",,What is tajtojpe?,histanfo-49,?	?	?	?	?	?	?,"después, mas ahora, yo me casé",histanfo,49,,anfo
histanfo-50,yab,irëjpë,irëjpë,then,Then...,,,histanfo-50,?,después,histanfo,50,,anfo
histanfo-51,yab,ana wejsapë,ana	wej-sapë,1+3PRO	COP-PST,We were.,,False start? Fragment? What's the predicate?,histanfo-51,?	?,nosotros estábamos,histanfo,51,,anfo
histanfo-52,yab,"makë yakërë ma wejtane, tëijpë rë pïjkë ana yïwïtï",makë	yakërë	ma	wej-tane	tëijpë	rë	pïjkë	ana	y-ïwïtï-∅,mom	***	RST	COP-CNCS	far	EMP	DIM	1+3PRO	LK-house-PERT,"Even though I was with my mom, our house was a bit far away.",,,histanfo-52,?	?	?	?	?	?	?	?	?,"aunque estaba con mi mamá, nuestra casa estaba un poquito lejos",histanfo,52,,anfo
histanfo-53,yab,"ana yïwïj yawë ana senejka wejsapë, tawara ma ana këyatajpë ana",ana	y-ïwïj-∅	yawë	ana	senejka-∅	wej-sapë	tawara	ma	ana	këyata-jpë	ana,1+3PRO	LK-house-PERT	LOC	1+3PRO	stay-IPFV	COP-PST	too	RST	1+3PRO	grow-PST	1+3PRO,"We stayed at home, that's how we were raised.",,Could the second ana be possessing papa?,histanfo-53,?	?	?	?	?	?	?	?	?	?	?,"nosotros estábamos en nuestra casa, así nos criamos",histanfo,53,,anfo
histanfo-54,yab,papa pano patajpë të,papa	pano	pata-jpë	të,father	FMR	axe-PST	LOC,In my late father's village.,,"village, not axe",histanfo-54,?	?	?	?,en lo que era el pueblo del finado mi papá,histanfo,54,,anfo
histanfo-55,yab,ëmpare,ëmpare,already,That's it.,,,histanfo-55,?,ya,histanfo,55,,anfo
histgrme-29,yab,"asakërërë mëyawajkë, asakë mëyumukunu",asakërërë	mëyawajkë	asakë	më=y-umukunu-∅,***	***	two	2=LK-hand-PERT,"two-hand line, two-hand line (auto)",,,,?	?	?	?,"raya con la dos, las dos manos",histgrme,29,,grme
histgrme-83,yab,wepïrï makë,wepï-rï	makë,come-IPFV	mom,mi mamá comes (auto),,,,?	?,viene mi mamá,histgrme,83,,grme
ctoaragrme-5,yab,mëyakarama mare,më=yakarama-∅	mare,2=tell-IPFV	REL.INAN,the one you are saying (auto),,,ctoaragrme-5,?	?,ese que tu estás diciendo,ctoaragrme,5,,elpe
ctoaragrme-38,yab,irë wejtane mujyampe patakaja wejsapë,irë	wej-tane	mujyam=pe	pataka-ja	wejsapë,3ANA.INAN	COP-CNCS	pregnancy=ESS	take_out-NEG	?,"despite this, she did not get pregnant (auto)",,,ctoaragrme-38,?	?	?	?	?,a pesar de eso no salió embarazada,ctoaragrme,38,,elpe
ctoaragrme-39,yab,apatakaja pïnïka wejsapë,apataka-ja	pïnïka	wejsapë,come_out-NEG	***	?,maybe she did not come out (pregnant) (auto),,,ctoaragrme-39,?	?	?,tal vez no salió (embarazada),ctoaragrme,39,,grme
ctoaragrme-40,yab,tayakïjtëja pïnika wejsapë,tayakïjtëja	pïnika	wejsapë,***	PROB	?,maybe he didn't sleep with her (auto),,,ctoaragrme-40,?	?	?,tal vez no se acostó con ella,ctoaragrme,40,,grme
ctoyucairdi-104,yab,tawara wïrë tase tëpana,tawara	wïrë	tase	tëpana,too	1PRO	?	***,so I told her (auto),,,,?	?	?	?,así yo le conté a ella,ctoyucairdi,104,,elpe
desccasagrme-28,yab,tëwï nwajtënëpëkë,tëwï	nwajtë-nëpëkë,3PRO	dance-PROG.INTR,he... he was dancing all the time. (auto),,,,?	?,él... se la pasaba bailando,desccasagrme,28,,grme
descmensgrme-78,yab,aniki ta uyeremari,aniki	ta	u=yerema-ri,who	like	1=feed-IPFV,Who was going to feed me then?,,,descmensgrme-78,?	?	?,¿quién más me iba a alimentar pues?,descmensgrme,78,,grme
desccasmaj-38,yab,"yapijtompe wïrë wejtane, ¡ kë %¡ wïyapë moroni",yapijtompe	wïrë	wejtane	kë	wï=y-apë-∅	moroni,***	1PRO	?	ugh	1=LK-arm_wing-PERT	?,"though I am old, alas my arms ache (auto)",,,,?	?	?	?	?	?,"aunque soy vieja, ay me duelen mis brazos",desccasmaj,38,,irdi
conv1stenc-2,yab,¿ kwase ne wepïjpëkonton ti %¿ ta,kwase=ne	wepï-jpë=konton	ti	ta-∅,how=INTS	come-PST=PL	HSY	say-IPFV,"""How did they come?"", s/he says.",,,,?	?	?	?,¿cómo vinieron? dice,conv1stenc,2,,elpe
